# Nameset - Scandinavian
# Data taken from www.behindthename.com
# Translator note: this nameset does not contain name that has [ɹ](american english 'r') sound (except '-er'). i.e. for Korean, 'Carl' should be '카를', 'Aleksander' should be '알렉산더'.

"HEADER";"LatinAlph";"HangulKoKR";"KanaJaJP";"CyrilRuRU";"AlphElGR";"HanziZhCN";"HanziZhTW";"AksonThTH";"AlefbetHeIL"
"NAMESET_SCAN_F_001";"Agnes";"아그네스";
"NAMESET_SCAN_F_002";"Alberte";"알베르테";
"NAMESET_SCAN_F_003";"Alexandra";"알렉산드라";
"NAMESET_SCAN_F_004";"Alva";"알바";
"NAMESET_SCAN_F_005";"Amanda";"아만다";
"NAMESET_SCAN_F_006";"Andrea";"안드레아";
"NAMESET_SCAN_F_007";"Ane";"아네";
"NAMESET_SCAN_F_008";"Anna";"안나";
"NAMESET_SCAN_F_009";"Anne";"안네";
"NAMESET_SCAN_F_010";"Anniken";"안니켄";
"NAMESET_SCAN_F_011";"Asta";"아스타";
"NAMESET_SCAN_F_012";"Astrid";"아스트리드";
"NAMESET_SCAN_F_013";"Beatrice";"베아트리케";
"NAMESET_SCAN_F_014";"Camilla";"카밀라";
"NAMESET_SCAN_F_015";"Carolina";"카롤리나";
"NAMESET_SCAN_F_016";"Caroline";"카롤리네";
"NAMESET_SCAN_F_017";"Cecilia";"세실리아";
"NAMESET_SCAN_F_018";"Celina";"첼리나";
"NAMESET_SCAN_F_019";"Charlotte";"카를로테";
"NAMESET_SCAN_F_020";"Christina";"크리스티나";
"NAMESET_SCAN_F_021";"Christine";"크리스티네";
"NAMESET_SCAN_F_022";"Ebba";"에바";
"NAMESET_SCAN_F_023";"Edith";"에디스";
"NAMESET_SCAN_F_024";"Elin";"엘린";
"NAMESET_SCAN_F_025";"Elina";"엘리나";
"NAMESET_SCAN_F_026";"Elisabeth";"엘리사베스";
"NAMESET_SCAN_F_027";"Elise";"엘리세";
"NAMESET_SCAN_F_028";"Ella";"엘라";
"NAMESET_SCAN_F_029";"Ellinor";"엘리노르";
