# Nameset - Scandinavian
# Data taken from www.behindthename.com
# Translator note: this nameset does not contain name that has [ɹ](american english 'r') sound (except '-er'). i.e. for Korean, 'Carl' should be '카를', 'Aleksander' should be '알렉산더'.

"HEADER";"LatinAlph";"HangulKoKR";"KanaJaJP";"CyrilRuRU";"AlphElGR";"HanziZhCN";"HanziZhTW";"AksonThTH";"AlefbetHeIL"
"NAMESET_SCAN_M_001";"Adam";"아담";
"NAMESET_SCAN_M_002";"Adrian";"아드리안";
"NAMESET_SCAN_M_003";"Aksel";"악셀";
"NAMESET_SCAN_M_004";"Albert";"알베르";
"NAMESET_SCAN_M_005";"Albin";"알빈";
"NAMESET_SCAN_M_006";"Alek";"알렉";
"NAMESET_SCAN_M_007";"Alexander";"알렉산더";
"NAMESET_SCAN_M_008";"Alfred";"알프레드";
"NAMESET_SCAN_M_009";"Amund";"아문드";
"NAMESET_SCAN_M_010";"Andreas";"안드레아스";
"NAMESET_SCAN_M_011";"Anton";"안톤";
"NAMESET_SCAN_M_012";"Aron";"아론";
"NAMESET_SCAN_M_013";"Alvard";"알바르";
"NAMESET_SCAN_M_014";"August";"아우구스트";
"NAMESET_SCAN_M_015";"Axel";"악셀";
"NAMESET_SCAN_M_016";"Björn";"비외른";
"NAMESET_SCAN_M_017";"Bjørn";"비외른";
"NAMESET_SCAN_M_018";"Carl";"카를";
"NAMESET_SCAN_M_019";"Casper";"카스퍼";
"NAMESET_SCAN_M_020";"Christian";"크리스티안";
"NAMESET_SCAN_M_021";"Christoffer";"크리스토퍼";
"NAMESET_SCAN_M_022";"Cyrus";"키루스";
"NAMESET_SCAN_M_023";"Daniel";"다니엘";
"NAMESET_SCAN_M_024";"David";"다비드";
"NAMESET_SCAN_M_025";"Edmund";"에드문드";
"NAMESET_SCAN_M_026";"Edvard";"에드바르";
"NAMESET_SCAN_M_027";"Edvin";"에드빈";
"NAMESET_SCAN_M_028";"Eirik";"에릭";
"NAMESET_SCAN_M_029";"Elias";"엘리아스";
"NAMESET_SCAN_M_030";"Elis";"엘리스";
"NAMESET_SCAN_M_031";"Emanuel";"에마누엘";
"NAMESET_SCAN_M_032";"Emil";"에밀";
"NAMESET_SCAN_M_033";"Endre";"에인드리";
"NAMESET_SCAN_M_034";"Erik";"에릭";
"NAMESET_SCAN_M_035";"Erlend";"에를렌드";
"NAMESET_SCAN_M_036";"Espen";"에스펜";
"NAMESET_SCAN_M_037";"Fabian";"파비안";
"NAMESET_SCAN_M_038";"Felix";"펠릭스";
"NAMESET_SCAN_M_039";"Filip";"필립";
"NAMESET_SCAN_M_040";"Frederik";"프레데릭";
"NAMESET_SCAN_M_041";"Gabriel";"가브리엘";
"NAMESET_SCAN_M_042";"Gustav";"구스타프";
"NAMESET_SCAN_M_043";"Haakon";"하콘";
"NAMESET_SCAN_M_044";"Hákon";"하우콘";
"NAMESET_SCAN_M_045";"Håkon";"호콘";
"NAMESET_SCAN_M_046";"Hampus";"함푸스";
"NAMESET_SCAN_M_047";"Hanne";"한네";
"NAMESET_SCAN_M_048";"Hans";"한스";
"NAMESET_SCAN_M_049";"Håvard";"호바르";
"NAMESET_SCAN_M_050";"Henrik";"헨릭";
"NAMESET_SCAN_M_051";"Herman";"헤르만";
"NAMESET_SCAN_M_052";"Hjalmar";"히알마르";
"NAMESET_SCAN_M_053";"Hugo";"후고";
"NAMESET_SCAN_M_054";"Isak";"이삭";
"NAMESET_SCAN_M_055";"Ivar";"이바르";
"NAMESET_SCAN_M_056";"Jacob";"야콥";
"NAMESET_SCAN_M_057";"Jakob";"야콥";
"NAMESET_SCAN_M_058";"Jan";"얀";
"NAMESET_SCAN_M_059";"Jens";"옌스";
"NAMESET_SCAN_M_060";"Jeppe";"예프";
"NAMESET_SCAN_M_061";"Jesper";"예스퍼";
"NAMESET_SCAN_M_062";"Joakim";"요아킴";
"NAMESET_SCAN_M_063";"Joel";"요엘";
"NAMESET_SCAN_M_064";"Johan";"요한";
