idst;tens;impf;dsty;fmod;endurance;tcond;reach;rcs;sondrefl;comments
WOOD;10;10;800;1;0.173;0.17;5;18;0.5;just a generic wood
ROCK;15;210;3000;1;0.42;2.9;5;48;1.0;data is that of marble
GLSS;15;210;3000;1;0.42;2.9;5;48;1.0;glass
OORE;15;210;3000;1;0.42;2.9;5;100;0.2;data is that of marble
OGEM;15;210;3000;1;0.42;2.9;5;80;0.2;data is that of marble
CUPR;210;770;8960;2;1.00;401.0;5;120;1.0;copper
EGLS;33;1000;2325;4;0.82;1.0;6;10;1.0;elven glass/moldavite
IRON;350;1085;7874;5;1.42;80.4;6;120;1.0;not wrought iron,just natural iron
ARGN;170;595;10490;9;0.91;429.0;6;120;1.0;argentum/silver
AURM;120;350;19300;9;0.88;318.0;6;120;1.0;aurum/gold
STAL;531;2520;7874;14;1.73;26.0;7;120;1.0;steel
EAUR;768;0;8192;21;1.36;1.0;7;120;1.0;elven aurichalcum
TIAL;900;0;4420;33;2.16;1.0;8;120;1.0;titanium alloy (Ti6Al4V)
ADMT;2000;4090;2700;71;3.42;1.0;8;120;1.0;adamant
OOZE;20;0;1000;1;0.08;0.5;0;10;0.0;genetic ooze,data is about human skin
BONE;130;0;2000;1;0.23;0.55;4;10;0.1;data is that of bovine bone
BRAS;315;1015;8530;3;1.00;120;5;120;1.0;brass
BRNZ;310;843;8770;3;1.20;75;5;120;1.0;bronze
TINN;220;350;7310;2;1.00;69;5;120;1.0;tin
ZINC;90;525;7140;2;1.00;116;5;120;1.0;zinc
DIRT;1;1;1400;0.0;0.0;36;0;10;0.0;dirt
SAND;1;1;2400;0.0;0.0;36;0;36;0.0;sand
GRVL;1;1;2400;0.0;0.0;36;0;36;0.0;gravel
PLST;1;1;1400;0.0;0.0;36;0;16;0.5;TODO plastic (polyethylene)
GRSS;1;1;1400;0.0;0.0;36;0;10;0.0;dirt
AIIR;1;1;1;0.0;0.0;36;0;1;-0.2;air
NULL;1;1;1;0.0;0.0;36;0;1;0.5;air

# idst: ID_STRING, ALL CAPS
#
# tens: tensile strength (= ultimate stringth)
#       not all 'impact' is not tensile stress, but I'm using it anyway because it's easiest to get the value from.
#							that, or DF's tensile fracture divided by 1000 (I think Toady and I are both using values posted on Wikipedia, e.g. Silver)
#
# impf: Dwarf Fortress impact fracture divided by 1000 (likely not being used)
#
# dsty: density (grams per litre)
#
# fmod: forcemod -- related to attack points
#       Attack points = `16 * forcemod.sqrt()` for each strike
#
# endurance: multiplier, using copper as reference;determines durability of tools/weapons/armours/etc.
#            the base value for endurance differes to tool to tool. When integer is used, resulting value must be ROUNDED.
#
# tcond: thermal conductivity
#
# reach: Tool Reach in blocks. Default is 6 (iron)
#
# rcs: Radar Cross Section -- how well the material reflects the radio wave used by the Ground Penetrating Radar.
#
# sondrefl: Sound Reflective Power. Hard surface (glass) is 1.0
#
# Comments: do nothing;do not parse
#

## These values are being used by the phys simulator (blocks) and for attack power calculation (items)
