  "id";"drop";"name"                        ;  "shdr";  "shdg";  "shdb";"strength";"dsty";"mate";"fluid";"solid";"wall";  "lumr";  "lumg";  "lumb";"fall";"dlfn";"vscs";"fv";"friction"
   "0";   "0";"BLOCK_AIR"                   ;"0.0312";"0.0312";"0.0312";       "1";   "1";"null";    "0";    "0";   "1";"0.0000";"0.0000";"0.0000";   "0";   "0"; "N/A"; "0";"4"
  "16";  "17";"BLOCK_STONE"                 ;"0.1252";"0.1252";"0.1252";      "48";"2400";"rock";    "0";    "1";   "1";"0.0000";"0.0000";"0.0000";   "0";   "0"; "N/A"; "0";"16"
  "17";  "17";"BLOCK_STONE_QUARRIED"        ;"0.1252";"0.1252";"0.1252";      "48";"2400";"rock";    "0";    "1";   "1";"0.0000";"0.0000";"0.0000";   "0";   "0"; "N/A"; "0";"16"
  "18";  "18";"BLOCK_STONE_TILE_WHITE"      ;"0.1252";"0.1252";"0.1252";      "48";"2400";"rock";    "0";    "1";   "1";"0.0000";"0.0000";"0.0000";   "0";   "0"; "N/A"; "0";"16"
  "19";  "19";"BLOCK_STONE_BRICKS"          ;"0.1252";"0.1252";"0.1252";      "48";"2400";"rock";    "0";    "1";   "1";"0.0000";"0.0000";"0.0000";   "0";   "0"; "N/A"; "0";"16"
  "32";  "32";"BLOCK_DIRT"                  ;"0.1252";"0.1252";"0.1252";      "24";"1400";"dirt";    "0";    "1";   "1";"0.0000";"0.0000";"0.0000";   "0";   "0"; "N/A"; "0";"16"
  "33";  "32";"BLOCK_GRASS"                 ;"0.1252";"0.1252";"0.1252";      "24";"1400";"grss";    "0";    "1";   "0";"0.0000";"0.0000";"0.0000";   "0";   "0"; "N/A"; "0";"16"
  "34";  "34";"BLOCK_GRASSWALL"             ;"0.1252";"0.1252";"0.1252";      "24";"1400";"grss";    "0";    "1";   "1";"0.0000";"0.0000";"0.0000";   "0";   "0"; "N/A"; "0";"16"
  "35";  "35";"BLOCK_FOLIAGE_GREEN"         ;"0.1252";"0.1252";"0.1252";      "24";"1400";"grss";    "0";    "1";   "1";"0.0000";"0.0000";"0.0000";   "0";   "0"; "N/A"; "0";"16"
  "36";  "36";"BLOCK_FOLIAGE_LIME"          ;"0.1252";"0.1252";"0.1252";      "24";"1400";"grss";    "0";    "1";   "1";"0.0000";"0.0000";"0.0000";   "0";   "0"; "N/A"; "0";"16"
  "37";  "37";"BLOCK_FOLIAGE_GOLD"          ;"0.1252";"0.1252";"0.1252";      "24";"1400";"grss";    "0";    "1";   "1";"0.0000";"0.0000";"0.0000";   "0";   "0"; "N/A"; "0";"16"
