 "id";"dmg";"name"                     ;"opacity";"strength";"spcg";"fluid";"movr";"solid";"wall";"lumcolor";"drop";"ddmg";"fall";"friction"
  "0";  "0";"TILE_AIR"                 ;   "1641";       "0";   "1";    "0";   "0";    "0";   "0";       "0";   "0";   "0";   "0";"16"
  "1";  "0";"TILE_STONE"               ;   "8205";      "25";"2400";    "0";   "0";    "1";   "1";       "0";   "1";   "0";   "0";"16"
  "1";  "1";"TILE_STONE_QUARRIED"      ;   "8205";      "25";"2400";    "0";   "0";    "1";   "1";       "0";   "1";   "1";   "0";"16"
  "2";  "0";"TILE_DIRT"                ;   "8205";       "6";"1400";    "0";   "0";    "1";   "1";       "0";   "2";   "0";   "0";"16"
  "2";  "1";"TILE_GRASS"               ;   "8205";       "6";"1400";    "0";   "0";    "1";   "1";       "0";   "2";   "1";   "0";"16"
  "3";  "0";"TILE_PLANK_NORMAL"        ;   "8205";      "12"; "740";    "0";   "0";    "1";   "1";       "0";   "3";   "0";   "0";"16"
  "3";  "1";"TILE_PLANK_EBONY"         ;   "8205";      "12";"1200";    "0";   "0";    "1";   "1";       "0";   "3";   "1";   "0";"16"
  "3";  "2";"TILE_PLANK_BIRCH"         ;   "8205";      "12"; "670";    "0";   "0";    "1";   "1";       "0";   "3";   "2";   "0";"16"
  "3";  "3";"TILE_PLANK_BLOODROSE"     ;   "8205";      "12"; "900";    "0";   "0";    "1";   "1";       "0";   "3";   "3";   "0";"16"
  "4";  "0";"TILE_TRUNK_NORMAL"        ;   "8205";      "12"; "740";    "0";   "0";    "1";   "0";       "0";   "3";   "0";   "0";"16"
  "4";  "1";"TILE_TRUNK_EBONY"         ;   "8205";      "12";"1200";    "0";   "0";    "1";   "0";       "0";   "3";   "1";   "0";"16"
  "4";  "2";"TILE_TRUNK_BIRCH"         ;   "8205";      "12"; "670";    "0";   "0";    "1";   "0";       "0";   "3";   "2";   "0";"16"
  "4";  "3";"TILE_TRUNK_BLOODROSE"     ;   "8205";      "12"; "900";    "0";   "0";    "1";   "0";       "0";   "3";   "3";   "0";"16"
  "5";  "0";"TILE_SAND"                ;   "8205";       "6";"2400";    "0";   "0";    "1";   "1";       "0";   "5";   "0";   "1";"16"
  "5";  "1";"TILE_SAND_WHITE"          ;   "8205";       "6";"2400";    "0";   "0";    "1";   "1";       "0";   "5";   "1";   "1";"16"
  "5";  "2";"TILE_SAND_RED"            ;   "8205";       "6";"2400";    "0";   "0";    "1";   "1";       "0";   "5";   "2";   "1";"16"
  "5";  "3";"TILE_SAND_DESERT"         ;   "8205";       "6";"2400";    "0";   "0";    "1";   "1";       "0";   "5";   "3";   "1";"16"
  "5";  "4";"TILE_SAND_BLACK"          ;   "8205";       "6";"2400";    "0";   "0";    "1";   "1";       "0";   "5";   "4";   "1";"16"
  "6";  "0";"TILE_GRAVEL"              ;   "8205";       "6";"2400";    "0";   "0";    "1";   "0";       "0";   "6";   "0";   "1";"16"
  "6";  "1";"TILE_GRAVEL_GREY"         ;   "8205";       "6";"2400";    "0";   "0";    "1";   "0";       "0";   "6";   "1";   "1";"16"
  "7";  "0";"TILE_ORE_MALACHITE"       ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";   "7";   "0";   "0";"16"
  "7";  "1";"TILE_ORE_HEMATITE"        ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";   "7";   "1";   "0";"16"
  "7";  "2";"TILE_ORE_NATURAL_GOLD"    ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";   "7";   "2";   "0";"16"
  "7";  "3";"TILE_ORE_NATURAL_SILVER"  ;   "8205";      "25";"2400";    "0";   "0";    "1";   "0";       "0";   "7";   "3";   "0";"16"
