 "id";"dmg";"name"                       ; "opacity";"strength";"dsty";"fluid";"solid";"wall";"lumcolor";"drop";"ddmg";"fall";"dlfn";"friction"
  "0";  "0";"TILE_AIR"                   ;  "526344";       "0";   "1";    "0";    "0";   "0";       "0";   "0";   "0";   "0";   "0";"4"
  "1";  "0";"TILE_STONE"                 ; "2105376";      "25";"2400";    "0";    "1";   "1";       "0";   "1";   "0";   "0";   "0";"16"
  "1";  "1";"TILE_STONE_QUARRIED"        ; "2105376";      "25";"2400";    "0";    "1";   "1";       "0";   "1";   "1";   "0";   "0";"16"
  "1";  "2";"TILE_STONE_TILE_WHITE"      ; "2105376";      "25";"2400";    "0";    "1";   "1";       "0";   "1";   "2";   "0";   "0";"16"
  "1";  "3";"TILE_STONE_BRICKS"          ; "2105376";      "25";"2400";    "0";    "1";   "1";       "0";   "1";   "3";   "0";   "0";"16"
  "2";  "0";"TILE_DIRT"                  ; "2105376";       "6";"1400";    "0";    "1";   "1";       "0";   "2";   "0";   "0";   "0";"16"
  "2";  "1";"TILE_GRASS"                 ; "2105376";       "6";"1400";    "0";    "1";   "1";       "0";   "2";   "1";   "0";   "0";"16"
  "3";  "0";"TILE_PLANK_NORMAL"          ; "2105376";      "12"; "740";    "0";    "1";   "1";       "0";   "3";   "0";   "0";   "0";"16"
  "3";  "1";"TILE_PLANK_EBONY"           ; "2105376";      "12";"1200";    "0";    "1";   "1";       "0";   "3";   "1";   "0";   "0";"16"
  "3";  "2";"TILE_PLANK_BIRCH"           ; "2105376";      "12"; "670";    "0";    "1";   "1";       "0";   "3";   "2";   "0";   "0";"16"
  "3";  "3";"TILE_PLANK_BLOODROSE"       ; "2105376";      "12"; "900";    "0";    "1";   "1";       "0";   "3";   "3";   "0";   "0";"16"
  "4";  "0";"TILE_TRUNK_NORMAL"          ; "2105376";      "12"; "740";    "0";    "1";   "0";       "0";   "3";   "0";   "0";   "0";"16"
  "4";  "1";"TILE_TRUNK_EBONY"           ; "2105376";      "12";"1200";    "0";    "1";   "0";       "0";   "3";   "1";   "0";   "0";"16"
  "4";  "2";"TILE_TRUNK_BIRCH"           ; "2105376";      "12"; "670";    "0";    "1";   "0";       "0";   "3";   "2";   "0";   "0";"16"
  "4";  "3";"TILE_TRUNK_BLOODROSE"       ; "2105376";      "12"; "900";    "0";    "1";   "0";       "0";   "3";   "3";   "0";   "0";"16"
