 "id";"dmg";"name"                     ;"opacity";"strength";"dsty";"fluid";"movr";"solid";"wall";"lumcolor";"drop";"ddmg";"fall";"friction"
  "0";  "0";"TILE_AIR"                 ; "526344";       "0";   "1";    "0";   "0";    "0";   "0";       "0";   "0";   "0";   "0";"16"
  "1";  "0";"TILE_STONE"               ;"2105376";      "25";"2400";    "0";   "0";    "1";   "1";       "0";   "1";   "0";   "0";"16"
  "1";  "1";"TILE_STONE_QUARRIED"      ;"2105376";      "25";"2400";    "0";   "0";    "1";   "1";       "0";   "1";   "1";   "0";"16"
  "2";  "0";"TILE_DIRT"                ;"2105376";       "6";"1400";    "0";   "0";    "1";   "1";       "0";   "2";   "0";   "0";"16"
  "2";  "1";"TILE_GRASS"               ;"2105376";       "6";"1400";    "0";   "0";    "1";   "1";       "0";   "2";   "1";   "0";"16"
  "3";  "0";"TILE_PLANK_NORMAL"        ;"2105376";      "12"; "740";    "0";   "0";    "1";   "1";       "0";   "3";   "0";   "0";"16"
  "3";  "1";"TILE_PLANK_EBONY"         ;"2105376";      "12";"1200";    "0";   "0";    "1";   "1";       "0";   "3";   "1";   "0";"16"
  "3";  "2";"TILE_PLANK_BIRCH"         ;"2105376";      "12"; "670";    "0";   "0";    "1";   "1";       "0";   "3";   "2";   "0";"16"
  "3";  "3";"TILE_PLANK_BLOODROSE"     ;"2105376";      "12"; "900";    "0";   "0";    "1";   "1";       "0";   "3";   "3";   "0";"16"
  "4";  "0";"TILE_TRUNK_NORMAL"        ;"2105376";      "12"; "740";    "0";   "0";    "1";   "0";       "0";   "3";   "0";   "0";"16"
  "4";  "1";"TILE_TRUNK_EBONY"         ;"2105376";      "12";"1200";    "0";   "0";    "1";   "0";       "0";   "3";   "1";   "0";"16"
  "4";  "2";"TILE_TRUNK_BIRCH"         ;"2105376";      "12"; "670";    "0";   "0";    "1";   "0";       "0";   "3";   "2";   "0";"16"
  "4";  "3";"TILE_TRUNK_BLOODROSE"     ;"2105376";      "12"; "900";    "0";   "0";    "1";   "0";       "0";   "3";   "3";   "0";"16"
  "5";  "0";"TILE_SAND"                ;"2105376";       "6";"2400";    "0";   "0";    "1";   "0";       "0";   "5";   "0";   "1";"16"
  "5";  "1";"TILE_SAND_WHITE"          ;"2105376";       "6";"2400";    "0";   "0";    "1";   "0";       "0";   "5";   "1";   "1";"16"
  "5";  "2";"TILE_SAND_RED"            ;"2105376";       "6";"2400";    "0";   "0";    "1";   "0";       "0";   "5";   "2";   "1";"16"
  "5";  "3";"TILE_SAND_DESERT"         ;"2105376";       "6";"2400";    "0";   "0";    "1";   "0";       "0";   "5";   "3";   "1";"16"
  "5";  "4";"TILE_SAND_BLACK"          ;"2105376";       "6";"2400";    "0";   "0";    "1";   "0";       "0";   "5";   "4";   "1";"16"
  "5";  "5";"TILE_SAND_GREEN"          ;"2105376";       "6";"2400";    "0";   "0";    "1";   "0";       "0";   "5";   "5";   "1";"16"
  "6";  "0";"TILE_GRAVEL"              ;"2105376";       "6";"2400";    "0";   "0";    "1";   "0";       "0";   "6";   "0";   "1";"16"
  "6";  "1";"TILE_GRAVEL_GREY"         ;"2105376";       "6";"2400";    "0";   "0";    "1";   "0";       "0";   "6";   "1";   "1";"16"
  "7";  "0";"TILE_ORE_MALACHITE"       ;"2105376";      "25";"2400";    "0";   "0";    "1";   "0";       "0";   "7";   "0";   "0";"16"
  "7";  "1";"TILE_ORE_HEMATITE"        ;"2105376";      "25";"2400";    "0";   "0";    "1";   "0";       "0";   "7";   "1";   "0";"16"
  "7";  "2";"TILE_ORE_NATURAL_GOLD"    ;"2105376";      "25";"2400";    "0";   "0";    "1";   "0";       "0";   "7";   "2";   "0";"16"
  "7";  "3";"TILE_ORE_NATURAL_SILVER"  ;"2105376";      "25";"2400";    "0";   "0";    "1";   "0";       "0";   "7";   "3";   "0";"16"
  "7";  "4";"TILE_ORE_RUTILE"          ;"2105376";      "25";"2400";    "0";   "0";    "1";   "0";       "0";   "7";   "4";   "0";"16"
  "7";  "5";"TILE_ORE_AURICHALCUMITE"  ;"2105376";      "25";"2400";    "0";   "0";    "1";   "0";       "0";   "7";   "5";   "0";"16"
  "8";  "0";"TILE_GEM_RUBY"            ;"2105376";      "25";"2400";    "0";   "0";    "1";   "0";       "0";   "8";   "0";   "0";"16"
  "8";  "1";"TILE_GEM_EMERALD"         ;"2105376";      "25";"2400";    "0";   "0";    "1";   "0";       "0";   "8";   "1";   "0";"16"
  "8";  "2";"TILE_GEM_SAPPHIRE"        ;"2105376";      "25";"2400";    "0";   "0";    "1";   "0";       "0";   "8";   "2";   "0";"16"
