Title SWINGIN1
Length 31
voices 3
Tempo 240
Orders 1B 1C 19 19 17 18 00 01 02 03 04 05 06 07 10 08 09 0A 0B 0C 0D 0E 0F 11 12 13 14 11 12 13 1D 1E 

Order 1B

00 | F#2 ... | E-3 110 | E-7 F06
01 | G#2 301 | ... 110 | ... 210
02 | ... 301 | ... 110 | ... 210
03 | ... 301 | ... 110 | ... 210
04 | ... 301 | ... 110 | ... 210
05 | ... 301 | ... 110 | ... 210
06 | G#2 432 | ... 110 | ... 210
07 | ... 432 | ... 110 | ... 210
08 | ... 432 | ... 110 | ... 210
09 | ... 432 | ... 110 | ... 210
0A | ... 432 | ... 110 | ... 210
0B | ... 432 | ... 110 | ... 210
0C | ... 432 | ... 110 | ... 208
0D | ... 432 | ... 110 | ... 208
0E | ... 432 | ... 110 | ... 208
0F | ... 432 | ... 110 | ... 208
10 | ... 432 | ... 110 | ... 208
11 | ... 432 | ... 110 | ... 208
12 | ... 432 | ... 110 | ... 208
13 | ... 432 | ... 110 | ... 208
14 | ... 432 | ... 110 | ... 208
15 | ... 432 | ... 110 | ... 208
16 | ... 432 | ... 110 | ... 208
17 | ... 432 | ... 110 | ... 208
18 | ... 432 | ... 110 | ... 208
19 | ... 432 | ... 110 | ... 208
1A | ... 432 | ... 110 | ... 208
1B | ... 432 | ... 110 | ... 208
1C | ... 432 | ... 110 | ... 208
1D | ... 432 | ... 110 | ... 208
1E | ... 432 | ... 110 | ... 208
1F | ... 432 | ... 110 | ... 208
20 | E-2 432 | ... 210 | ... 208
21 | ... 432 | ... 210 | ... 208
22 | ... 432 | ... 210 | ... 208
23 | ... 432 | ... 210 | ... 208
24 | ... 432 | ... 210 | ... 208
25 | ... 432 | ... 210 | ... 208
26 | ... 432 | ... 210 | ... 208
27 | ... 432 | ... 210 | ... 208
28 | ... 432 | ... 210 | ... 208
29 | ... 432 | ... 210 | ... 208
2A | ... 432 | ... 210 | ... 208
2B | ... 432 | ... 210 | ... 208
2C | ... 432 | ... 210 | ... 208
2D | ... 432 | ... 210 | ... 208
2E | ... 432 | ... 210 | ... 204
2F | ... 432 | ... 210 | ... 204
30 | C#3 306 | ... 210 | ... 204
31 | ... 306 | ... 210 | ... 204
32 | ... 306 | ... 210 | ... 204
33 | ... 306 | ... 210 | ... 204
34 | C#3 432 | ... 210 | ... 204
35 | ... 432 | ... 210 | ... 204
36 | ... 432 | ... 210 | ... 204
37 | ... 432 | ... 210 | ... 204
38 | ... 432 | ... 210 | ... 204
39 | ... 432 | ... 210 | ... 204
3A | ... 432 | ... 210 | ... 204
3B | ... 432 | ... 210 | ... 204
3C | ... 432 | ... 210 | ... 204
3D | ... 432 | ... 210 | ... 204
3E | ... 432 | ... 210 | ... 204
3F | ... 432 | ... 210 | ... 204

Order 1C

00 | G-3 210 | C-3 ... | G#2 F04
01 | C-1 320 | ... ... | G#1 305
02 | ... 320 | ... ... | ... 305
03 | ... 320 | === ... | ... 305
04 | === ... | ... ... | ... 305
05 | ... ... | ... ... | ... 305
06 | G-3 210 | C-3 ... | ... ...
07 | C-1 320 | ... ... | ... ...
08 | ... 320 | ... 210 | ... ...
09 | ... 320 | === ... | ... ...
0A | === ... | ... ... | === ...
0B | ... ... | ... ... | ... ...
0C | G-3 210 | C-3 ... | ... ...
0D | C-1 320 | ... 220 | ... ...
0E | ... 320 | === ... | ... ...
0F | ... 320 | ... ... | ... ...
10 | === ... | ... ... | ... ...
11 | ... ... | ... ... | ... ...
12 | G-3 210 | C-1 ... | ... ...
13 | C-1 320 | ... ... | ... ...
14 | === ... | === ... | ... ...
15 | ... ... | ... ... | ... ...
16 | ... ... | ... ... | ... ...
17 | ... ... | ... ... | ... ...
18 | ... ... | ... ... | ... ...
19 | ... ... | ... ... | ... ...
1A | ... ... | ... ... | ... ...
1B | ... ... | ... ... | ... ...
1C | ... ... | ... ... | ... ...
1D | ... ... | ... ... | ... ...
1E | ... ... | ... ... | ... ...
1F | ... ... | ... ... | ... ...
20 | ... ... | ... ... | ... ...
21 | ... ... | ... ... | ... ...
22 | ... ... | ... ... | ... ...
23 | ... ... | ... ... | ... ...
24 | ... ... | ... ... | ... ...
25 | ... ... | ... ... | ... ...
26 | ... ... | ... ... | ... ...
27 | ... ... | ... ... | ... ...
28 | ... ... | ... ... | ... ...
29 | ... ... | ... ... | ... ...
2A | ... ... | ... ... | ... ...
2B | ... ... | ... ... | ... ...
2C | ... ... | ... ... | ... ...
2D | ... ... | ... ... | ... ...
2E | ... ... | ... ... | ... ...
2F | ... ... | ... ... | ... ...
30 | ... ... | ... ... | ... ...
31 | ... ... | ... ... | ... ...
32 | ... ... | ... ... | ... ...
33 | ... ... | ... ... | ... ...
34 | ... ... | ... ... | ... ...
35 | ... ... | ... ... | ... ...
36 | ... ... | ... ... | ... ...
37 | ... ... | ... ... | ... ...
38 | ... ... | ... ... | ... ...
39 | ... ... | ... ... | ... ...
3A | ... ... | ... ... | ... ...
3B | ... ... | ... ... | ... ...
3C | ... ... | ... ... | ... ...
